year,Copycat
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,4.7076755192522664e-11
1889,4.7076755192522664e-11
1890,4.7076755192522664e-11
1891,4.7076755192522664e-11
1892,4.7076755192522664e-11
1893,4.7076755192522664e-11
1894,4.7076755192522664e-11
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,2.991288367797702e-11
1900,8.897151864457292e-11
1901,8.897151864457292e-11
1902,8.897151864457292e-11
1903,8.897151864457292e-11
1904,8.897151864457292e-11
1905,8.897151864457292e-11
1906,5.90586349665959e-11
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,1.5925556111946142e-10
1913,1.973788434282499e-10
1914,1.973788434282499e-10
1915,1.973788434282499e-10
1916,2.1815334856028253e-10
1917,3.37550840453663e-10
1918,3.37550840453663e-10
1919,2.3878451200458935e-10
1920,2.345568699586258e-10
1921,3.1487740589522927e-10
1922,3.5135497685904026e-10
1923,3.68329430447797e-10
1924,2.4893193855441657e-10
1925,3.162166877552457e-10
1926,3.918840966018625e-10
1927,1.203891994031433e-09
1928,1.1577102134095541e-09
1929,1.1212326424457432e-09
1930,1.0834836837249539e-09
1931,1.0834836837249539e-09
1932,1.123119454580847e-09
1933,9.869628130638424e-10
1934,2.4004260484084787e-10
1935,4.678062064706572e-10
1936,6.722382174727062e-10
1937,7.021002985346009e-10
1938,1.0382732610178129e-09
1939,1.155552764586787e-09
1940,1.2912685841216997e-09
1941,1.5604048212277836e-09
1942,1.534136579677587e-09
1943,1.5407773311183958e-09
1944,1.7219346424925318e-09
1945,1.820213741637084e-09
1946,1.9646652082982996e-09
1947,2.0275098742774033e-09
1948,2.1085419442203245e-09
1949,2.250954660760434e-09
1950,2.3170289337975144e-09
1951,2.1788423605022852e-09
1952,2.1581138939400344e-09
1953,2.592643924944785e-09
1954,3.3823565852892604e-09
1955,4.032642695962961e-09
1956,4.9109543098779795e-09
1957,6.335170134517755e-09
1958,7.740977890437404e-09
1959,1.011846714352568e-08
1960,1.0985197196333729e-08
1961,1.1140486501558046e-08
1962,1.0998466708806681e-08
1963,1.052903573852047e-08
1964,9.350283024035986e-09
1965,8.656685400256135e-09
1966,6.22535121865196e-09
1967,5.025158448087755e-09
1968,4.7254708717454315e-09
1969,4.692508540468257e-09
1970,4.678121192012798e-09
1971,4.920848807797386e-09
1972,4.64469126651831e-09
1973,4.856320076232887e-09
1974,5.007408741621231e-09
1975,4.972232879398218e-09
1976,4.60873926323911e-09
1977,4.411530030168365e-09
1978,4.520318817670597e-09
1979,4.9905970784485425e-09
1980,5.937089803913815e-09
1981,7.430080868025308e-09
1982,9.057409108440392e-09
1983,1.090220269617248e-08
1984,1.2399014767286839e-08
1985,1.3635756904558808e-08
1986,1.4861883914006415e-08
1987,1.618994741444827e-08
1988,1.6845616837965086e-08
1989,2.0952458434919663e-08
1990,2.2487670773127126e-08
1991,2.939814106436448e-08
1992,4.578409448389006e-08
1993,5.4642009012744504e-08
1994,5.825838935079121e-08
1995,6.108631974858067e-08
1996,6.146943271850042e-08
1997,6.456599572451133e-08
1998,6.554552151832077e-08
1999,5.394592912060554e-08
2000,4.84504997392118e-08
2001,4.924841182482201e-08
2002,4.9489347223438274e-08
2003,4.89072685841815e-08
2004,4.8977117472759346e-08
2005,4.854730915683701e-08
2006,4.8713547735295444e-08
2007,4.9847311548286855e-08
2008,4.895841852560677e-08
2009,4.893175540944737e-08
2010,5.115728589950257e-08
2011,5.196982298473683e-08
2012,4.785379965304466e-08
2013,4.759504485767658e-08
2014,4.7331225922724636e-08
2015,4.921008362706354e-08
2016,4.904434851888644e-08
2017,4.722073398966131e-08
2018,4.557699710971974e-08
2019,4.7492708432628206e-08
