year,Heat
1987,1.626730636417051e-05
1988,1.5969678497640415e-05
1989,1.555865204257619e-05
1990,1.5131167726524706e-05
1991,1.4396847551064898e-05
1992,1.4080455782407495e-05
1993,1.3741967969898334e-05
1994,1.3204877437341825e-05
1995,1.2646776277896216e-05
1996,1.2207817495176901e-05
1997,1.1946489134321123e-05
1998,1.1441913686992069e-05
1999,1.1187215932295658e-05
2000,1.0698572233585374e-05
2001,1.031250329625826e-05
2002,9.962629909361048e-06
2003,9.664243147459014e-06
2004,9.440093630733567e-06
2005,9.110049047324407e-06
2006,8.450764978208878e-06
2007,8.184419454794676e-06
2008,8.391655228479067e-06
2009,8.865734928674232e-06
2010,9.287373294292983e-06
2011,9.364504421682796e-06
2012,9.74850153007927e-06
2013,1.0275362131194146e-05
2014,1.052438944628063e-05
2015,1.0436696356919128e-05
2016,1.0178144813315676e-05
2017,9.992240696495477e-06
2018,1.0049121920019389e-05
2019,1.011549079521501e-05
