year,braveheart
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,2.321381182517663e-10
1841,2.321381182517663e-10
1842,2.321381182517663e-10
1843,2.321381182517663e-10
1844,2.321381182517663e-10
1845,2.321381182517663e-10
1846,2.321381182517663e-10
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,1.219693949014048e-10
1856,2.3159417241101566e-10
1857,2.3159417241101566e-10
1858,2.3159417241101566e-10
1859,2.3159417241101566e-10
1860,4.027658999967392e-10
1861,4.027658999967392e-10
1862,2.807965050953344e-10
1863,1.7117172758572353e-10
1864,2.8853850261459767e-10
1865,2.8853850261459767e-10
1866,2.8853850261459767e-10
1867,1.1736677502887412e-10
1868,1.1736677502887412e-10
1869,1.9953181963826084e-10
1870,1.9953181963826084e-10
1871,8.216504460938673e-11
1872,8.216504460938673e-11
1873,8.216504460938673e-11
1874,8.216504460938673e-11
1875,8.216504460938673e-11
1876,8.052112944665981e-11
1877,8.052112944665981e-11
1878,1.488993531647712e-10
1879,1.488993531647712e-10
1880,1.488993531647712e-10
1881,1.488993531647712e-10
1882,1.488993531647712e-10
1883,1.248546900787874e-10
1884,1.248546900787874e-10
1885,5.647646636067602e-11
1886,1.0388524960904176e-10
1887,1.0388524960904176e-10
1888,1.0388524960904176e-10
1889,1.0388524960904176e-10
1890,4.7408783248365744e-11
1891,4.7408783248365744e-11
1892,4.7408783248365744e-11
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,2.0082852048020072e-11
1910,2.0082852048020072e-11
1911,2.0082852048020072e-11
1912,3.998979718795275e-11
1913,3.998979718795275e-11
1914,3.998979718795275e-11
1915,3.998979718795275e-11
1916,1.9906945139932677e-11
1917,1.9906945139932677e-11
1918,4.039540130967063e-11
1919,2.048845616973795e-11
1920,2.048845616973795e-11
1921,2.048845616973795e-11
1922,2.048845616973795e-11
1923,2.048845616973795e-11
1924,2.048845616973795e-11
1925,0.0
1926,0.0
1927,0.0
1928,3.413875531472448e-11
1929,3.413875531472448e-11
1930,3.413875531472448e-11
1931,3.413875531472448e-11
1932,3.413875531472448e-11
1933,3.413875531472448e-11
1934,3.413875531472448e-11
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,4.855521143884037e-11
1952,4.855521143884037e-11
1953,4.855521143884037e-11
1954,4.855521143884037e-11
1955,4.855521143884037e-11
1956,4.855521143884037e-11
1957,4.855521143884037e-11
1958,1.781494594700815e-11
1959,1.781494594700815e-11
1960,3.3871788310665554e-11
1961,3.3871788310665554e-11
1962,3.3871788310665554e-11
1963,3.3871788310665554e-11
1964,3.3871788310665554e-11
1965,1.6056842363657406e-11
1966,1.6056842363657406e-11
1967,0.0
1968,0.0
1969,1.3594935693068371e-11
1970,3.978273762004849e-11
1971,3.978273762004849e-11
1972,3.978273762004849e-11
1973,3.978273762004849e-11
1974,3.978273762004849e-11
1975,3.978273762004849e-11
1976,2.6187801926980114e-11
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,2.074507827425671e-11
1989,2.074507827425671e-11
1990,3.0647007749034265e-11
1991,3.0647007749034265e-11
1992,1.9331951813171345e-10
1993,3.1249228502458083e-10
1994,4.036552907403314e-10
1995,5.12387403339698e-10
1996,6.023352223740095e-10
1997,9.498078989977898e-10
1998,1.124582268577764e-09
1999,1.0605697431387284e-09
2000,1.1921198155613005e-09
2001,1.2468504879364112e-09
2002,1.2863282899162292e-09
2003,1.4701501127589722e-09
2004,1.2181409769773666e-09
2005,1.1808049538153398e-09
2006,1.2328590767321908e-09
2007,1.2307799303533174e-09
2008,1.2693880787776175e-09
2009,1.3086688478912224e-09
2010,1.3253884894354989e-09
2011,1.619136935637755e-09
2012,1.7381811069837129e-09
2013,1.6969681374387084e-09
2014,1.558370956087986e-09
2015,1.6456443985291003e-09
2016,1.6602745051790586e-09
2017,1.598082758717349e-09
2018,1.3589398273339271e-09
2019,1.2498303780805742e-09
