year,fifty shades of grey
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,1.0093267491636685e-11
2005,1.0093267491636685e-11
2006,1.0093267491636685e-11
2007,1.0093267491636685e-11
2008,1.0093267491636685e-11
2009,3.004688561450816e-11
2010,6.284189042154204e-11
2011,1.3170893740723144e-10
2012,2.749785875190623e-10
2013,5.389907488582781e-10
2014,6.74449139394438e-10
2015,8.791761842351167e-10
2016,1.0682269513395681e-09
2017,1.2080039376212899e-09
2018,1.3390602848772915e-09
2019,1.4231034684009103e-09
