year,hello
1800,2.567833323752211e-08
1801,3.14506017673466e-08
1802,4.209866055759903e-08
1803,7.184809851829804e-08
1804,7.267075068690637e-08
1805,7.451672041319008e-08
1806,7.139510493914258e-08
1807,7.621370328487436e-08
1808,7.503032887054165e-08
1809,6.427204647861475e-08
1810,3.297956980523915e-08
1811,2.3765150609327586e-08
1812,2.5126536787719748e-08
1813,3.6381106127691965e-08
1814,3.758744274559181e-08
1815,3.306576320686158e-08
1816,3.1242214149074243e-08
1817,2.964563477243181e-08
1818,3.4978050424326416e-08
1819,3.5256405794825696e-08
1820,2.6245993568961368e-08
1821,2.4226063187273083e-08
1822,2.4475940766218888e-08
1823,2.7832542112296973e-08
1824,3.1853884609388065e-08
1825,2.8353465607113193e-08
1826,3.1298573130048423e-08
1827,2.9671939825805438e-08
1828,2.8537443392500402e-08
1829,4.131935174963733e-08
1830,4.3237895295890535e-08
1831,3.737577897971229e-08
1832,3.72170082054067e-08
1833,3.431102697198136e-08
1834,3.754218301312205e-08
1835,3.9683166784344944e-08
1836,2.747991275800895e-08
1837,2.5247696060810247e-08
1838,2.678755401624195e-08
1839,2.690185369707316e-08
1840,2.5930535433157535e-08
1841,2.3355077617890985e-08
1842,2.5083081516592235e-08
1843,2.4400723473507113e-08
1844,2.439109079789757e-08
1845,2.681834944594032e-08
1846,2.6813302054863797e-08
1847,3.4845577344201824e-08
1848,3.9067985418179367e-08
1849,4.028496444366933e-08
1850,4.7830711835672446e-08
1851,5.215885374403635e-08
1852,6.332779075738212e-08
1853,7.138601227601222e-08
1854,7.291943252393399e-08
1855,7.501627408146305e-08
1856,7.593940612845732e-08
1857,7.360052732354103e-08
1858,7.163479155890076e-08
1859,6.140892543677573e-08
1860,5.7959376472841284e-08
1861,5.456030649497734e-08
1862,5.0427385949498264e-08
1863,4.933462146742126e-08
1864,4.952409124062537e-08
1865,4.8555884392596586e-08
1866,4.8539161261779943e-08
1867,4.911555099137591e-08
1868,4.690914881929789e-08
1869,5.007106551602192e-08
1870,4.8539295757369216e-08
1871,4.952983800876609e-08
1872,5.331521992145229e-08
1873,5.336556339687247e-08
1874,5.1208926115415513e-08
1875,4.984984057289564e-08
1876,4.863703040314249e-08
1877,4.757027026260273e-08
1878,4.647249188646388e-08
1879,4.686695679164846e-08
1880,5.437066822163875e-08
1881,5.96331593629072e-08
1882,6.680974706796405e-08
1883,7.474662768101683e-08
1884,1.0579444368171867e-07
1885,1.1660891630072001e-07
1886,1.19716518603192e-07
1887,1.1548707996260938e-07
1888,1.1555889553197371e-07
1889,1.1582004637895287e-07
1890,1.1537966315700032e-07
1891,9.028039573065274e-08
1892,8.560404804062013e-08
1893,8.565423976441317e-08
1894,8.693360545716392e-08
1895,8.976530909064553e-08
1896,9.790675546485415e-08
1897,1.0045680604824675e-07
1898,1.1187871454662205e-07
1899,1.1858965872793955e-07
1900,1.2752008160532569e-07
1901,1.3807295269024117e-07
1902,1.484148575465432e-07
1903,1.5038540165538246e-07
1904,1.5467594900136256e-07
1905,1.5563243696955657e-07
1906,1.621095070244597e-07
1907,1.6275860608467546e-07
1908,1.694992265908825e-07
1909,1.7582607979095754e-07
1910,1.8240317193171256e-07
1911,1.8870727761363275e-07
1912,1.960676923675107e-07
1913,1.988989250126646e-07
1914,2.0909444791478953e-07
1915,2.1592591232482456e-07
1916,2.2071661273262828e-07
1917,2.247669337001363e-07
1918,2.3219806369719924e-07
1919,2.4354387611375774e-07
1920,2.5192970554144267e-07
1921,2.6111818637478533e-07
1922,2.7694704028492977e-07
1923,2.827405174749791e-07
1924,2.9773447148987285e-07
1925,3.158658005629279e-07
1926,3.326682198283899e-07
1927,3.5885824445358594e-07
1928,3.7379603717064516e-07
1929,3.783103263036277e-07
1930,3.993255615698997e-07
1931,4.250969993790932e-07
1932,4.596961511132187e-07
1933,4.792675472994493e-07
1934,4.965749756788032e-07
1935,5.233518761217835e-07
1936,5.5123520529118e-07
1937,5.737337492714037e-07
1938,5.874617435048484e-07
1939,6.132745105397979e-07
1940,6.407411206055258e-07
1941,6.861801174246856e-07
1942,7.229058058198592e-07
1943,7.59098416632956e-07
1944,7.747920644110959e-07
1945,7.907466153613183e-07
1946,7.650146390655468e-07
1947,7.57513191729231e-07
1948,7.402296984894617e-07
1949,7.275139474976251e-07
1950,7.106808246654899e-07
1951,7.062400056513849e-07
1952,7.018688523073382e-07
1953,7.164231549592972e-07
1954,7.163892275587256e-07
1955,7.059067164456272e-07
1956,6.916052939232031e-07
1957,6.821841793680505e-07
1958,6.728913198068247e-07
1959,6.609407461967618e-07
1960,6.444174281179065e-07
1961,6.411760296032298e-07
1962,6.238308937359502e-07
1963,6.139781671013875e-07
1964,6.010202956271574e-07
1965,5.958709396379293e-07
1966,5.976628390921437e-07
1967,6.045190892629242e-07
1968,6.016985269395394e-07
1969,6.067888063755942e-07
1970,6.158945861248608e-07
1971,6.334979454030483e-07
1972,6.568654790888624e-07
1973,6.687359115988199e-07
1974,6.715313166491146e-07
1975,6.886216721925718e-07
1976,7.115659660225251e-07
1977,7.352799441053191e-07
1978,7.687139600420778e-07
1979,7.935019376808279e-07
1980,8.235885908496649e-07
1981,8.672392774704869e-07
1982,9.01095631888893e-07
1983,9.48968176674368e-07
1984,9.940351739195258e-07
1985,1.0438695231381904e-06
1986,1.0945422072187024e-06
1987,1.1437635813698371e-06
1988,1.1891542206805234e-06
1989,1.23615745906136e-06
1990,1.273150977405229e-06
1991,1.3075814584746176e-06
1992,1.3285797097393827e-06
1993,1.3680550442326681e-06
1994,1.4240629947640367e-06
1995,1.4923978791817457e-06
1996,1.5780332205395098e-06
1997,1.7449422427619408e-06
1998,1.920931741291757e-06
1999,2.1578230351743902e-06
2000,2.394740460788723e-06
2001,2.6067298222187674e-06
2002,2.8331582403292747e-06
2003,3.0224129139761705e-06
2004,3.1819848637886546e-06
2005,3.3358659103604234e-06
2006,3.5195401194089626e-06
2007,3.716368999968316e-06
2008,4.013146248585794e-06
2009,4.211459067196951e-06
2010,4.433109779711231e-06
2011,4.691419755025501e-06
2012,4.905756343630076e-06
2013,5.024279939139628e-06
2014,5.1593916136230944e-06
2015,5.1022848310822155e-06
2016,5.193798707685866e-06
2017,5.257984033354053e-06
2018,5.21816646141815e-06
2019,5.227950396147207e-06
