year,julen
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,1.339633483508708e-10
1880,3.194847402505323e-10
1881,3.194847402505323e-10
1882,3.8145079555335874e-10
1883,3.8145079555335874e-10
1884,3.8145079555335874e-10
1885,3.8145079555335874e-10
1886,2.948962304508537e-10
1887,1.0937483855119216e-10
1888,1.0937483855119216e-10
1889,9.254281864633031e-11
1890,9.254281864633031e-11
1891,9.254281864633031e-11
1892,1.2926252132164758e-10
1893,8.185373807328184e-11
1894,8.185373807328184e-11
1895,1.173811643122897e-10
1896,1.0409634860446865e-10
1897,3.399986938815555e-10
1898,3.399986938815555e-10
1899,3.032789912062382e-10
1900,3.3280830868953615e-10
1901,3.3280830868953615e-10
1902,2.972808824505283e-10
1903,2.6543166276038477e-10
1904,5.57829377927683e-11
1905,5.57829377927683e-11
1906,1.2462330770520883e-10
1907,1.5874141088913418e-10
1908,1.789041930473039e-10
1909,1.789041930473039e-10
1910,1.789041930473039e-10
1911,1.731435966823014e-10
1912,1.731435966823014e-10
1913,1.0430322676986087e-10
1914,4.065580610263757e-11
1915,2.0493023944467836e-11
1916,2.0493023944467836e-11
1917,1.3989051583784828e-10
1918,2.2183976877698797e-10
1919,2.2183976877698797e-10
1920,2.2183976877698797e-10
1921,2.2183976877698797e-10
1922,2.2183976877698797e-10
1923,3.728356036601456e-10
1924,2.5343811176676516e-10
1925,1.5099583488315764e-10
1926,1.8503499526240878e-10
1927,1.8503499526240878e-10
1928,1.8503499526240878e-10
1929,2.2280920362684397e-10
1930,7.181336874368632e-11
1931,1.5135946860946247e-10
1932,1.8699964196170323e-10
1933,2.218433016652556e-10
1934,2.218433016652556e-10
1935,2.8731889090138907e-10
1936,2.495446825369539e-10
1937,2.794067635988487e-10
1938,2.2787507793418727e-10
1939,1.922349045819465e-10
1940,1.23352084499143e-10
1941,2.337879592298872e-10
1942,1.6831236999375372e-10
1943,1.6831236999375372e-10
1944,1.3845028893185888e-10
1945,1.1043587473074418e-10
1946,1.1043587473074418e-10
1947,1.1043587473074418e-10
1948,0.0
1949,0.0
1950,0.0
1951,2.4277605719420184e-11
1952,4.7262249669444145e-11
1953,2.362461416969909e-10
1954,2.792145403773816e-10
1955,2.792145403773816e-10
1956,3.390411285053574e-10
1957,3.390411285053574e-10
1958,3.147635227859372e-10
1959,2.9177887883591325e-10
1960,1.1885182917202386e-10
1961,1.2866323482820163e-10
1962,1.2866323482820163e-10
1963,6.88366467002258e-11
1964,9.634244394326633e-11
1965,1.2341289101769348e-10
1966,1.500705710493528e-10
1967,1.474342661844652e-10
1968,9.46544618478968e-11
1969,9.46544618478968e-11
1970,9.46544618478968e-11
1971,9.400262215456375e-11
1972,6.69321750801366e-11
1973,5.243422858601323e-11
1974,3.9013691087243425e-11
1975,6.27989565111469e-11
1976,1.1054040619359488e-10
1977,1.5848465000673732e-10
1978,1.4377133907997727e-10
1979,1.4377133907997727e-10
1980,1.3161160554244133e-10
1981,1.5471322933097957e-10
1982,1.5337982768791137e-10
1983,1.2822763188559604e-10
1984,8.028338807245357e-11
1985,7.925257672347641e-11
1986,8.97041914955337e-11
1987,1.3998800035830428e-10
1988,1.16886376569766e-10
1989,1.0445422007502155e-10
1990,1.1157075561049216e-10
1991,1.1157075561049216e-10
1992,1.0046092033652191e-10
1993,1.1980249728768148e-10
1994,7.96479112822165e-11
1995,7.96479112822165e-11
1996,6.96282039961257e-11
1997,2.140280016707915e-10
1998,2.140280016707915e-10
1999,2.3196618039099193e-10
2000,2.1081860364567462e-10
2001,2.0927136214408749e-10
2002,2.3743052761966103e-10
2003,2.3743052761966103e-10
2004,1.0163965700828368e-10
2005,1.0163965700828368e-10
2006,9.374908587529112e-11
2007,8.510347089739158e-11
2008,2.856235743951631e-10
2009,2.669296708271826e-10
2010,2.8767890450761714e-10
2011,2.7430880781117596e-10
2012,2.8939601508832473e-10
2013,2.949914271188625e-10
2014,3.31673596325783e-10
2015,1.2257151147229298e-10
2016,1.1310624956469998e-10
2017,1.0774985186497628e-10
2018,9.437735454254081e-11
2019,9.15690804431657e-11
