year,le seigneur des anneaux
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,8.075720251251743e-11
1970,1.6780408015496358e-10
1971,1.6780408015496358e-10
1972,1.6780408015496358e-10
1973,1.6780408015496358e-10
1974,1.6780408015496358e-10
1975,1.6780408015496358e-10
1976,8.704687764244617e-11
1977,2.6835717774937555e-10
1978,2.6835717774937555e-10
1979,4.631775915190214e-10
1980,4.631775915190214e-10
1981,4.631775915190214e-10
1982,5.575835031785508e-10
1983,1.1218872814871312e-09
1984,8.535301037377557e-10
1985,8.535301037377557e-10
1986,1.089267311270094e-09
1987,1.089267311270094e-09
1988,1.089267311270094e-09
1989,1.425935369780973e-09
1990,1.0349479210144556e-09
1991,1.1174246369475123e-09
1992,1.1174246369475123e-09
1993,6.868670156455283e-10
1994,6.868670156455283e-10
1995,6.868670156455283e-10
1996,6.118746858391993e-10
1997,4.3855835629713624e-10
1998,3.560816403640794e-10
1999,5.606536187688757e-10
2000,6.254812223716044e-10
2001,1.1051465774260448e-09
2002,1.6657106170571622e-09
2003,1.3737349551552163e-09
2004,1.4983927868314088e-09
2005,2.5609843253996243e-09
2006,2.4309223007572864e-09
2007,2.440049880401775e-09
2008,2.6198229974294662e-09
2009,2.7020415468584756e-09
2010,3.2539744708261408e-09
2011,3.437265162973903e-09
2012,2.5147545712478347e-09
2013,3.0297415132274352e-09
2014,3.0753157480895813e-09
2015,3.0298045342444115e-09
2016,2.993986455582639e-09
2017,2.7742721453449803e-09
2018,2.8979986410604396e-09
2019,3.377356644351792e-09
