year,the lord of the rings
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,1.521973975420516e-10
1879,1.521973975420516e-10
1880,1.521973975420516e-10
1881,1.521973975420516e-10
1882,1.521973975420516e-10
1883,1.521973975420516e-10
1884,1.521973975420516e-10
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,9.035553257977621e-11
1909,9.035553257977621e-11
1910,9.035553257977621e-11
1911,9.035553257977621e-11
1912,9.035553257977621e-11
1913,9.035553257977621e-11
1914,9.035553257977621e-11
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,2.6390159898629204e-11
1954,5.0373681416613996e-11
1955,9.944157005773287e-11
1956,9.944157005773287e-11
1957,1.6408470613983794e-10
1958,1.8393267662921075e-10
1959,1.8393267662921075e-10
1960,1.5754251673058154e-10
1961,1.3355899521259674e-10
1962,8.449110657147787e-11
1963,1.1884160520749176e-10
1964,5.41984691253867e-11
1965,6.446634892576242e-11
1966,6.446634892576242e-11
1967,1.092741730435165e-10
1968,1.092741730435165e-10
1969,1.092741730435165e-10
1970,7.492367440750262e-11
1971,7.492367440750262e-11
1972,5.931651598472293e-11
1973,8.636689181289775e-11
1974,5.484970414367954e-11
1975,5.484970414367954e-11
1976,6.814954652188478e-11
1977,8.150225435020277e-11
1978,1.085622593805751e-10
1979,1.0753541014001705e-10
1980,8.048503431184223e-11
1981,2.2173024230179702e-10
1982,2.3425205426213276e-10
1983,2.2095221188392752e-10
1984,2.32586762349829e-10
1985,2.0552675731945668e-10
1986,1.9204491469304585e-10
1987,2.0325822176164062e-10
1988,4.872237732314996e-11
1989,5.853428555350045e-11
1990,1.688888285175264e-10
1991,1.5493984765825785e-10
1992,1.6559171692584077e-10
1993,1.6559171692584077e-10
1994,1.54378409857246e-10
1995,1.6545879547421753e-10
1996,1.5425047350525745e-10
1997,6.432191287534091e-11
1998,9.429331918450349e-11
1999,1.036640188372446e-10
2000,1.4220768312922516e-10
2001,2.2818634382819932e-10
2002,3.006758948963041e-10
2003,3.105495245879299e-10
2004,4.073753854091525e-10
2005,5.409630065329146e-10
2006,5.992225723553243e-10
2007,6.265339477388007e-10
2008,6.639844745454887e-10
2009,6.542220217945324e-10
2010,6.794186364305383e-10
2011,7.014101561469183e-10
2012,5.604987981680917e-10
2013,7.091142593753017e-10
2014,7.251546149270435e-10
2015,6.883224109735916e-10
2016,6.69793086073765e-10
2017,7.275303507784751e-10
2018,6.780957129137733e-10
2019,7.88669234086381e-10
